SYMBOL,COMPANY NAME,SERIES,PURPOSE,FACE VALUE,EX-DATE,RECORD DATE,BOOK CLOSURE START DATE,BOOK CLOSURE END DATE
PGEL,PG Electroplast Limited,EQ,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,1,10-Jul-2024,10-Jul-2024,-,-
CROMPTON,Crompton Greaves Consumer Electricals Limited,EQ,Annual General Meeting,2,10-Jul-2024,-,11-Jul-2024,26-Jul-2024
CROMPTON,Crompton Greaves Consumer Electricals Limited,EQ,Dividend - Rs 3 Per Share,2,10-Jul-2024,10-Jul-2024,-,-
MPHASIS,MphasiS Limited,EQ,Annual General Meeting/Dividend - Rs 55 Per Share,10,10-Jul-2024,-,11-Jul-2024,25-Jul-2024
WHEELS,Wheels India Limited,EQ,Annual General Meeting/Dividend - Rs 7.39 Per Share,10,10-Jul-2024,-,11-Jul-2024,17-Jul-2024
SHOPERSTOP,Shoppers Stop Limited,EQ,Annual General Meeting,5,10-Jul-2024,-,11-Jul-2024,18-Jul-2024
VIMTALABS,Vimta Labs Limited,EQ,Annual General Meeting/Dividend - Rs 2 Per Share,2,11-Jul-2024,-,12-Jul-2024,18-Jul-2024
SINCLAIR,Sinclairs Hotels Limited,EQ,Dividend - Rs 1 Per Share,2,11-Jul-2024,11-Jul-2024,-,-
ROUTE,ROUTE MOBILE LIMITED,EQ,Dividend - Rs 2 Per Share,10,11-Jul-2024,11-Jul-2024,-,-
NURECA,Nureca Limited,EQ,Annual General Meeting,10,11-Jul-2024,-,12-Jul-2024,17-Jul-2024
RAYMOND,Raymond Limited,EQ,Demerger,10,11-Jul-2024,11-Jul-2024,-,-
ORIENTHOT,Oriental Hotels Limited,EQ,Dividend - Re 0.50 Per Share,1,11-Jul-2024,11-Jul-2024,-,-
CENTURYTEX,Century Textiles & Industries Limited,EQ,Annual General Meeting/Dividend - Rs 5 Per Share,10,11-Jul-2024,-,12-Jul-2024,23-Jul-2024
JUBLFOOD,Jubilant Foodworks Limited,EQ,Dividend - Rs 1.20 Per Share,2,12-Jul-2024,12-Jul-2024,-,-
BLUEDART,Blue Dart Express Limited,EQ,Annual General Meeting/Dividend - Rs 25 Per Share,10,12-Jul-2024,-,13-Jul-2024,19-Jul-2024
JAYAGROGN,Jayant Agro Organics Limited,EQ,Annual General Meeting,5,12-Jul-2024,-,13-Jul-2024,18-Jul-2024
JAYAGROGN,Jayant Agro Organics Limited,EQ,Dividend - Rs 5 Per Share & Special Dividend - Rs 2.5 Per Share,5,12-Jul-2024,12-Jul-2024,-,-
KABRAEXTRU,Kabra Extrusion Technik Limited,EQ,Annual General Meeting/Dividend - Rs 3.50 Per Share,5,12-Jul-2024,-,13-Jul-2024,19-Jul-2024
AXISBANK,Axis Bank Limited,EQ,Dividend - Re 1 Per Share,2,12-Jul-2024,12-Jul-2024,-,-
IOC,Indian Oil Corporation Limited,EQ,Dividend - Rs 7 Per Share,10,12-Jul-2024,12-Jul-2024,-,-
